iter	Passed	Remaining
0	2	2653
1	3	1846
2	4	1551
3	5	1394
4	6	1284
5	7	1210
6	8	1160
7	9	1122
8	9	1083
9	10	1062
10	11	1046
11	12	1037
12	13	1025
13	14	1029
14	15	1046
15	17	1058
16	18	1047
17	19	1039
18	19	1031
19	20	1024
20	22	1026
21	23	1022
22	23	1015
23	24	1009
24	25	1004
25	26	995
26	27	985
27	28	977
28	29	971
29	30	985
30	32	1024
31	33	1022
32	34	1019
33	35	1019
34	36	1013
35	37	1007
36	38	1003
37	39	996
38	40	990
39	41	986
40	41	982
41	42	976
42	43	972
43	44	969
44	45	968
45	46	972
46	47	969
47	48	964
48	49	958
49	50	956
50	51	954
51	52	950
52	52	946
53	53	944
54	54	940
55	55	937
56	56	932
57	57	928
58	58	928
59	59	930
60	61	947
61	62	946
62	63	943
63	64	940
64	65	937
65	66	936
66	67	933
67	67	929
68	68	926
69	69	922
70	70	922
71	71	921
72	72	923
73	73	923
74	75	936
75	77	937
76	77	934
77	78	929
78	79	928
79	80	926
80	81	924
81	82	923
82	82	916
83	83	914
84	84	912
85	85	909
86	86	908
87	87	906
88	88	904
89	89	902
90	90	905
91	91	903
92	92	900
93	93	897
94	93	894
95	94	891
96	95	887
97	96	885
98	97	882
99	97	879
100	98	878
101	99	877
102	100	878
103	101	878
104	102	877
105	104	879
106	105	882
107	106	883
108	107	881
109	109	886
110	110	884
111	111	883
112	112	883
113	113	882
114	114	880
115	115	878
116	115	874
117	116	871
118	117	869
119	118	867
120	119	866
121	120	865
122	121	865
123	122	864
124	123	861
125	124	860
126	125	861
127	126	860
128	127	859
129	128	858
130	129	856
131	129	854
132	130	852
133	131	851
134	132	852
135	134	851
136	135	851
137	137	857
138	138	857
139	139	856
140	140	854
141	140	850
142	141	848
143	142	845
144	143	843
145	143	842
146	144	839
147	145	837
148	146	835
149	147	833
150	148	833
151	149	834
152	150	833
153	151	831
154	152	829
155	152	827
156	153	825
157	154	823
158	155	821
159	156	819
160	156	815
161	157	813
162	158	811
163	158	809
164	159	807
165	160	806
166	161	804
167	162	803
168	163	802
169	164	803
170	165	801
171	166	799
172	167	798
173	168	798
174	169	797
175	169	795
176	170	793
177	171	791
178	172	790
179	173	788
180	173	786
181	174	784
182	175	783
183	176	781
184	177	780
185	178	781
186	179	782
187	180	781
188	182	781
189	182	779
190	183	778
191	184	776
192	185	775
193	186	774
194	187	773
195	188	771
196	188	770
197	189	768
198	190	766
199	191	764
200	192	765
201	193	766
202	194	765
203	195	763
204	196	761
205	197	762
206	198	760
207	199	759
208	200	757
209	201	756
210	201	754
211	202	752
212	203	750
213	203	749
214	204	747
215	205	746
216	206	744
217	207	743
218	208	742
219	209	742
220	210	740
221	210	739
222	211	737
223	212	735
224	213	733
225	213	732
226	214	730
227	215	728
228	216	727
229	216	725
230	217	724
231	218	722
232	219	721
233	219	719
234	220	717
235	221	716
236	222	714
237	222	713
238	223	712
239	224	712
240	225	710
241	226	709
242	227	707
243	227	705
244	228	703
245	229	702
246	229	700
247	230	698
248	231	696
249	231	695
250	232	693
251	233	692
252	233	690
253	234	688
254	235	686
255	235	685
256	236	684
257	238	684
258	239	684
259	240	683
260	240	681
261	241	680
262	242	678
263	242	677
264	243	675
265	244	674
266	245	673
267	245	671
268	246	670
269	247	668
270	248	667
271	248	665
272	249	664
273	250	662
274	250	661
275	252	661
276	253	660
277	254	659
278	254	658
279	255	656
280	256	655
281	256	653
282	257	652
283	258	651
284	259	650
285	260	649
286	260	648
287	261	647
288	262	646
289	263	644
290	264	643
291	265	642
292	266	642
293	267	641
294	268	641
295	269	639
296	269	638
297	270	637
298	271	635
299	271	634
300	272	632
301	273	631
302	274	630
303	274	629
304	275	628
